,RNA_S_C1,RNA_S_C2,RNA_S_C3,RNA_R_C1,RNA_R_C2,RNA_R_C3,RNA_S_T1,RNA_S_T2,RNA_S_T3,RNA_R_T1,RNA_R_T2,RNA_R_T3
161779,87.828791057364,91.3413410341006,93.2160747704158,68.8836368226528,69.1627136445251,77.2075070412338,102.80496269315,125.974191151075,100.985494247885,107.997159171795,89.3741319238733,89.1856966207233
79768,349.485397749094,343.251144728146,317.782073080963,292.755456496274,376.552552064636,347.993256374257,183.064977427276,232.264914934795,241.40341958304,347.4691208136,344.042357298351,294.018780068319
51234,400.718859199223,427.862071159734,409.938874274442,307.82375205123,323.857151192617,332.327965090528,453.604352935564,498.975897762463,500.118638180004,382.21603289496,397.85903888692,363.603224684487
9990,367.783062552712,314.406510717378,345.323186081313,278.763467766673,308.487659271612,336.803762600165,284.066344283703,332.650598508309,359.700712844849,296.757411289453,299.835797422026,313.620032072873
55505,846.266997167309,785.535532893265,785.980994086915,837.366710125373,790.431013080287,868.304716869528,943.280622605567,1072.74897152088,1030.05204132843,896.845973991859,852.417795876082,826.192771991976
256646,2.74464972054262,3.84595120143581,3.17782073080963,11.8393750788934,6.58692510900239,3.35684813222756,6.31258542852674,11.8100804204133,4.80883305942312,12.2083745150724,4.80506085612222,10.780688602505
254531,269.890555853358,277.869974303738,284.94459219593,321.815740780831,353.498314183128,325.614268826073,303.004100569284,247.027515460312,275.065250999002,346.530015081671,353.652479010595,337.141534478339
23015,1176.5398468726,1191.28338464474,1152.48965170696,1652.13097691831,1615.99229340859,1644.8555847915,1276.04405448076,1134.75189372805,1108.91690350297,1535.43787170334,1566.44983909584,1644.54504318213
440270,1022.83946252222,1061.48253159628,1021.13972816683,1488.53233946451,1433.75403205952,1487.08372257681,1082.15750203316,943.822260264698,977.154877674777,1358.88599410075,1380.0134778783,1410.3100817277
9716,2189.31559375283,2275.84162344964,2264.72690749033,2518.55797132824,2611.71580571945,2623.93629002454,1371.63463382703,1607.15511054458,1542.67364546294,2054.76334145988,2139.21309314561,2114.97509129144
54989,1853.55344460645,1843.17211328811,1849.49166533121,1486.3797258138,1792.74145050015,1912.2844859923,1056.00536240069,1181.00804204133,1207.97886452709,1660.33893404985,1700.99154306727,1488.71508974592
105370765,56.7227608912142,47.1129022175887,45.5487638082714,101.172841583271,102.097339189537,97.3485958345992,30.6611292242727,36.4144146296077,25.0059319090002,58.2245553795762,79.7640102116288,71.5445698166242
89978,193.955246918345,207.681364877534,202.32125319488,168.98017158057,158.086202616057,196.935090424017,101.903164774789,111.211590625559,114.45022681427,132.413908201939,173.943202991624,142.109077033021
723972,48.4888117295864,49.9973656186656,31.7782073080963,38.7470457127422,47.2062966145171,51.4716713608225,33.3665229793556,42.3194548398144,39.4324310872696,40.3815464729319,42.2845355338755,31.3620032072873
100507466,2.74464972054262,11.5378536043074,13.7705565001751,1.07630682535395,1.0978208515004,3.35684813222756,5.41078751016578,8.85756031530999,7.69413289507699,0.939105731928648,2.88303651367333,1.96012520045546
102724214,14.638131842894,16.3452926061022,15.8891036540482,1.07630682535395,0,0,5.41078751016578,6.88921357857444,4.80883305942312,0,0,0
84529,225.061277084495,219.219218481841,224.565998310547,311.052672527292,367.769985252633,392.751231470624,161.421827386612,185.024593253142,184.659189481848,254.497653352664,278.693529655089,246.975775257388
