Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000302317,107986250,RNF4-DT,1.13364062859161
ENSG00000072832,1400,CRMP1,-1.08932677980278
,105374366,LINC02482,1.22669792439012
ENSG00000246526,339988,LINC02481,5.01115280170825
,105374368,LOC105374368,1.0187209197873
,105374370,LOC105374370,3.48817788794908
ENSG00000248228,100505893,SLIT2-IT1,-1.42951456725537
ENSG00000163694,54502,RBM47,-1.10510801610266
,107986273,,-2.09732923228495
ENSG00000182308,285429,DCAF4L1,1.25163413713606
ENSG00000248256,100861517,OCIAD1-AS1,-1.23489512138656
ENSG00000188993,339977,LRRC66,2.58120462240716
ENSG00000128045,65997,RASL11B,1.2954479697558
ENSG00000196503,132946,ARL9,1.23721630162288
ENSG00000156140,9508,ADAMTS3,-1.20154058198467
,105377294,LOC105377294,1.25748881324508
,101928963,HNRNPD-DT,2.32989789742496
,105377328,LOC105377328,-1.63578354060121
,105377347,LOC105377347,-3.10145590244763
ENSG00000138778,1062,CENPE,-1.00820180743852
ENSG00000180245,10692,RRH,1.61361487897057
ENSG00000183423,345193,LRIT3,2.31847201474736
ENSG00000138735,8654,PDE5A,-1.22260179621713
,105377406,LOC105377406,-1.10137157133948
ENSG00000196159,79633,FAT4,-1.38105477425957
ENSG00000170153,57484,RNF150,-1.54614370313398
ENSG00000237136,646603,C4orf51,-1.24223231482261
ENSG00000151623,4306,NR3C2,-3.45234374474852
,107986197,LOC107986197,-2.43551342096809
ENSG00000121210,23240,TMEM131L,-1.51470530485425
ENSG00000145416,55016,MARCHF1,-1.17395802373287
,105377558,LOC105377558,-1.47534740555434
ENSG00000177300,53842,CLDN22,-1.25316950161592
,107986206,,1.69005618356473
ENSG00000083857,2195,FAT1,-1.1024912697408
,107986334,LOC107986334,-2.77951840016702
ENSG00000285063,448831,FRG2,1.58162604019059
,101929003,LOC101929003,1.72730568262155
,102724943,LOC102724943,1.4367458153877
ENSG00000259802,101929977,MARCHF6-DT,1.38413934394824
ENSG00000154153,54463,RETREG1,1.72978885801577
,112267938,,-1.09324202986557
ENSG00000154162,1010,CDH12,-1.04671739389427
ENSG00000113100,1007,CDH9,-1.71004930404384
ENSG00000113361,1004,CDH6,-1.09244104152946
,107986411,TARS1-DT,1.08536430216656
ENSG00000205838,153657,TTC23L,1.1344054147479
ENSG00000213949,3672,ITGA1,-1.14212771433605
,379013,RNF138P1,1.33665807680096
ENSG00000145632,10769,PLK2,2.37689369880613
,107986348,,-1.4241275293841
ENSG00000186105,100130733,LRRC70,-1.55450694538921
,112267932,LOC112267932,2.05396174312363
,105369228,LOC105369228,-1.35993861285625
,112267941,,-1.44442447551892
,112267939,,-1.46538638234752
,112267940,,-1.57900381289493
,441081,LOC441081,-1.56905186359544
,101929599,LOC101929599,-1.16731224397153
ENSG00000157111,134285,TMEM171,1.06257519064096
,101929201,LOC101929201,-1.13366333011374
,107986430,LOC107986430,-2.00911643609261
ENSG00000038427,1462,VCAN,-1.35157124526818
,112267943,,-1.26496429339441
,107986361,,-1.76415395008302
ENSG00000255647,731157,LOC731157,1.907175670256
,105379080,LOC105379080,-1.51536757189778
ENSG00000175471,79772,MCTP1,-1.26383392734072
,102724748,,-1.04153646236534
ENSG00000113441,4012,LNPEP,-1.10948832725204
,100652853,LINC01023,1.78505770307521
ENSG00000112893,4124,MAN2A1,-1.01564423466237
,105379123,LOC105379123,1.65833688075278
ENSG00000158987,51735,RAPGEF6,-1.03041457165156
ENSG00000164404,2661,GDF9,1.30309507924239
ENSG00000164406,116842,LEAP2,1.35719093340493
ENSG00000006837,51265,CDKL3,1.21761111043322
ENSG00000164621,9597,SMAD5-AS1,1.12865482266353
ENSG00000120738,1958,EGR1,2.9055840906589
ENSG00000253404,105379194,CTNNA1-AS1,1.68472051695438
ENSG00000146006,26045,LRRTM2,-1.9021454024819
ENSG00000113070,1839,HBEGF,1.95751567123121
ENSG00000246422,100505658,DIAPH1-AS1,-1.45381200962332
ENSG00000113555,51294,PCDH12,1.64441848315612
,100642175,SPRY4-IT1,-1.2169586390282
ENSG00000113578,2246,FGF1,-1.47485583235078
ENSG00000183775,57528,KCTD16,-1.29005136237842
,107986461,LOC107986461,-1.18349614538885
ENSG00000164591,91977,MYOZ3,3.3291505629037
ENSG00000188573,345630,FBLL1,5.17528331055706
,107986477,,-2.18329593292121
ENSG00000120129,1843,DUSP1,3.17990717131998
ENSG00000212402,677841,SNORA74B,1.69581759311802
ENSG00000146094,79930,DOK3,1.33406539830673
ENSG00000245060,729678,LINC00847,4.84142635543277
,107986496,TRIM7-AS1,1.7916412816885
ENSG00000264549,619570,SNORD95,2.13079651947353
,102723922,,1.31852135524268
ENSG00000137267,7280,TUBB2A,1.01636243499955
,105374897,LOC105374897,-1.31357096502723
,107986515,,-1.03648440740827
ENSG00000164304,285782,CAGE1,1.30290944876416
ENSG00000205269,100113407,TMEM170B,-1.12107563271941
ENSG00000235488,100506681,JARID2-AS1,1.83138842860241
,105374947,LOC105374947,-1.85310215588961
ENSG00000007944,29116,MYLIP,2.86636682939544
ENSG00000275714,8350,H3C1,-1.37328870161043
ENSG00000278705,8366,H4C2,-2.04098094792474
ENSG00000286522,8358,H3C2,-1.03407322581875
ENSG00000278463,8335,H2AC4,-1.78607907092349
ENSG00000276410,3018,H2BC3,-2.56211741945449
ENSG00000187837,3006,H1-2,-1.65269068526424
ENSG00000180573,8334,H2AC6,-1.23416072740371
ENSG00000168298,3008,H1-4,-1.29854232628608
ENSG00000274290,8344,H2BC6,-1.09618980685433
ENSG00000277157,8360,H4C4,-1.08361065599572
ENSG00000197409,8351,H3C4,-1.06397107408594
ENSG00000196866,3013,H2AC7,-1.21988238194863
ENSG00000277224,8343,H2BC7,-1.58641009144272
ENSG00000273802,8339,H2BC8,-1.93415317974826
ENSG00000277075,3012,H2AC8,-1.32435854440283
ENSG00000124575,3007,H1-3,-3.04965795452092
ENSG00000277775,8968,H3C7,-1.50667965080363
ENSG00000275713,8345,H2BC9,-1.36402414915802
,105374986,LOC105374986,4.52042425592851
ENSG00000273983,8355,H3C8,-2.30860794338669
ENSG00000278588,8346,H2BC10,-1.44336928034577
,105374985,,1.68744067659897
,7232,TRR-TCG4-1,2.12503460915787
,100189319,TRT-AGT2-1,1.11720789653943
ENSG00000275846,105374989,LOC105374989,2.90311432749238
,100270746,LARRPM,1.15070740841723
,105374995,,1.62115991953629
ENSG00000124635,8970,H2BC11,-2.82040096571355
ENSG00000196787,8969,H2AC11,-1.36522293345764
ENSG00000276180,8294,H4C9,-2.57126254596814
ENSG00000274997,85235,H2AC12,-1.41961823722369
,100189099,TRR-ACG2-3,2.35343811961435
,23540,TRS-TGA4-1,1.46118598455558
,94017,TRS-TGA2-1,2.06905109755644
