gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
86	14340.705273199772	-0.7233989492741636	0.30553254731044077	0.012699837717228525	0.026882552219162477	86	ACTL6A	ENSG00000136518	actin like 6A
87	6692.025766017754	-0.0631208990181081	0.2146358487085305	0.7605608329786888	0.8215036784682532	87	ACTN1	ENSG00000072110	actinin alpha 1
88	20163.03732458959	0.29162268633003546	0.25433853644833176	0.21556291437157557	0.30125631395090846	88	ACTN2	ENSG00000077522	actinin alpha 2
89	18429.170850261784	-0.14915173976375817	0.2178357759633402	0.4806213868197108	0.5772482477853983	89	ACTN3	ENSG00000248746	actinin alpha 3
90	15060.362664959493	1.0018748861652962	0.25463390426547544	4.708554659959667e-5	1.69692140754059e-4	90	ACVR1	ENSG00000115170	activin A receptor type 1
91	11104.03406453187	1.0555601857873373	0.2407106190152092	6.237332383376693e-6	2.6266656639086833e-5	91	ACVR1B	ENSG00000135503	activin A receptor type 1B
92	3221.222518083524	0.45374222985868634	0.23380266720991735	0.04622453244698369	0.0823286896360485	92	ACVR2A	ENSG00000121989	activin A receptor type 2A
93	20003.831809819996	0.074949324338353	0.24496983097197467	0.7487905061204605	0.8121906854549806	93	ACVR2B	ENSG00000114739	activin A receptor type 2B
94	21725.327813095097	1.2630182321410055	0.2776863135269099	1.928149956381707e-6	8.743414445258205e-6	94	ACVRL1	ENSG00000139567	activin A receptor like type 1
95	20718.246832924753	-0.24668791011895835	0.21573485201799575	0.24034759907513734	0.32941470281086865	95	ACY1	ENSG00000243989	aminoacylase 1
96	14185.267816903692	2.287399142837384	0.3169979068433134	1.0074810934530695e-13	1.1724115514305706e-12	96	NA	NA	NA
97	16050.850939052285	0.11835769659111202	0.21817559787226976	0.5802420237120025	0.6690097975540822	97	ACYP1	ENSG00000119640	acylphosphatase 1
98	22500.05119684044	-0.37200190613518297	0.23017367626092466	0.0942364835914514	0.1512057787144817	98	ACYP2	ENSG00000170634	acylphosphatase 2
99	52427.44798710745	7.1456763916806665	0.33559432960125996	4.416866919058277e-102	4.114802298093792e-99	99	NA	NA	NA
100	3407.615459374484	0.5619951533766282	0.2622847664144327	0.026481002233695643	0.051088348648969426	100	ADA	ENSG00000196839	adenosine deaminase
101	16947.219649127863	0.08599789427705329	0.21375646676690876	0.6834593588458674	0.7593036960703823	101	ADAM8	ENSG00000151651	ADAM metallopeptidase domain 8
102	15777.496959281321	0.9398358455670756	0.23672077017412996	4.405977694375501e-5	1.5964528944896884e-4	102	ADAM10	ENSG00000137845	ADAM metallopeptidase domain 10
103	15917.372215284158	0.5005074466537177	0.22805992119427887	0.02415721041355552	0.04721355028262384	103	ADAR	ENSG00000160710	adenosine deaminase RNA specific
104	14966.029066419092	2.2480327710752634	0.313750600131546	1.3786733760345223e-13	1.5695162147130282e-12	104	ADARB1	ENSG00000197381	adenosine deaminase RNA specific B1
105	53650.855241693884	5.060123228280558	0.26911767662613695	3.9125902046852e-80	1.7265848721675296e-77	105	ADARB2	ENSG00000185736	adenosine deaminase RNA specific B2 (inactive)
106	8726.58381228608	-0.09170160989123607	0.23028970810991978	0.680148190992251	0.7564770852788392	106	ADCP1	NA	adenosine deaminase complexing protein 1
107	16063.102790797899	0.5851860962142252	0.2479191295443052	0.014729252416850318	0.03058759551432359	107	ADCY1	ENSG00000164742	adenylate cyclase 1
108	14193.398645749185	1.9091306042189846	0.29362685239870484	1.4975102235949582e-11	1.3378662194706368e-10	108	ADCY2	ENSG00000078295	adenylate cyclase 2
109	21306.117970951487	2.620629061879074	0.24306982999798002	5.849277793181511e-28	2.23431752423373e-26	109	ADCY3	ENSG00000138031	adenylate cyclase 3
110	13080.24154257324	1.9370092408492905	0.31490335679076237	1.645017752359689e-10	1.2747367231663413e-9	110	NA	NA	NA
111	2619.3684194536854	0.47761146585000563	0.2592800532942321	0.056786059976335714	0.09834198489550487	111	ADCY5	ENSG00000173175	adenylate cyclase 5
112	19437.201223996875	0.2972652706666263	0.22851556039322748	0.18768689856078197	0.269388302838375	112	ADCY6	ENSG00000174233	adenylate cyclase 6
113	12334.021932113059	1.5399222381909132	0.2988650359387105	7.77842337285469e-8	4.3291198652306765e-7	113	ADCY7	ENSG00000121281	adenylate cyclase 7
114	8022.292789553822	-0.5592071484626906	0.27010831838197474	0.031090965921956887	0.058540804799606445	114	ADCY8	ENSG00000155897	adenylate cyclase 8
115	2745.09575184267	0.3510286545137512	0.26631296513995834	0.1755718149774822	0.2546846813091761	115	ADCY9	ENSG00000162104	adenylate cyclase 9
116	9520.733438616926	-0.14322832479941788	0.21443649904910256	0.49199162708723915	0.5879985456935295	116	ADCYAP1	ENSG00000141433	adenylate cyclase activating polypeptide 1
117	30240.582698053608	-1.111529488810495	0.21601660408962284	1.413101444883899e-7	7.609601197578068e-7	117	ADCYAP1R1	ENSG00000078549	ADCYAP receptor type I
118	10480.537141785855	-0.8251871808139627	0.2160070999515102	8.807057191101036e-5	3.029447016155349e-4	118	ADD1	ENSG00000087274	adducin 1
119	18134.960419683593	1.668654687108501	0.2666105085121427	1.3333195704745538e-10	1.0472335305521215e-9	119	ADD2	ENSG00000075340	adducin 2
120	16490.92672478827	0.3609764107661932	0.22150517614401286	0.0954285518305751	0.15286983049741246	120	ADD3	ENSG00000148700	adducin 3
121	14721.82492507363	2.249503429017097	0.32320136881501355	5.989266840671365e-13	6.340531291112255e-12	121	NA	NA	NA
122	18795.599595160464	-0.40169688495059197	0.21734768497418433	0.058445364711158555	0.10074736028386284	122	ADFN	NA	albinism-deafness syndrome
123	27516.447882803986	0.5356346017876578	0.21392158061200525	0.011344305053847207	0.024448355153317544	123	PLIN2	ENSG00000147872	perilipin 2
124	5654.941952156792	-0.67541474271579	0.25509227850227834	0.006025602462407795	0.014016275168832892	124	ADH1A	ENSG00000187758	alcohol dehydrogenase 1A (class I), alpha polypeptide
125	14821.336049057183	0.3796778712105552	0.24445329364389418	0.1100640696267464	0.17231485235467375	125	ADH1B	ENSG00000196616	alcohol dehydrogenase 1B (class I), beta polypeptide
126	17187.760141189938	4.59340132172785	0.28238097719064087	1.1886697422765528e-60	2.4308296229555502e-58	126	ADH1C	ENSG00000248144	alcohol dehydrogenase 1C (class I), gamma polypeptide
127	14804.55277157764	-2.2234956647472113	0.22060093260604005	1.198942391484676e-24	3.590190171929737e-23	127	ADH4	ENSG00000198099	alcohol dehydrogenase 4 (class II), pi polypeptide
128	12191.597050980825	1.8014497395051974	0.30694770501876684	1.1518577447266497e-9	8.094883960683644e-9	128	ADH5	ENSG00000197894	alcohol dehydrogenase 5 (class III), chi polypeptide
129	16576.153344559163	-0.8389235614976259	0.21507908379894644	6.278990317000861e-5	2.2166818658060514e-4	129	NA	NA	NA
130	17458.5069516737	0.9383595661510505	0.2594695249864097	1.7174373148214094e-4	5.593262057145118e-4	130	ADH6	ENSG00000172955	alcohol dehydrogenase 6 (class V)
131	32576.10076358713	-1.867741842815809	0.2599108534008296	1.4995251295722042e-13	1.7001715279104997e-12	131	ADH7	ENSG00000196344	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
132	21671.54253645878	0.5517386375053132	0.25106148090903957	0.023320986673735108	0.04573378850799486	132	ADK	ENSG00000156110	adenosine kinase
133	2532.247498111822	3.0446361897332603	0.27042231715342	2.4868480799647606e-30	1.094539513200238e-28	133	ADM	ENSG00000148926	adrenomedullin
134	7652.51268252622	0.9319488124982331	0.2179920998358887	1.173884262234409e-5	4.708171536333127e-5	134	ADORA1	ENSG00000163485	adenosine A1 receptor
135	17846.411886492355	4.730310152163622	0.3037166284445841	9.739792142147272e-56	1.676246634250131e-53	135	ADORA2A	ENSG00000128271	adenosine A2a receptor
136	6094.617784438892	1.3060518784487716	0.22086845116184456	1.4061570895999952e-9	9.772005070659892e-9	136	ADORA2B	ENSG00000170425	adenosine A2b receptor
137	11168.625429781678	0.4759786465508418	0.2414138962861854	0.04302165729092265	0.07747317129633612	137	ADORA2BP1	NA	adenosine A2b receptor pseudogene 1
138	10641.104315356464	1.2174802187493179	0.2381807962628298	1.4574379536824343e-7	7.820728654496238e-7	138	NA	NA	NA
139	3402.103629563595	2.364627529459928	0.2354033268571752	1.6420988000202622e-24	4.865080349388653e-23	139	NA	NA	NA
140	66.43129982997098	1.840244754774628	0.46896206389957756	1.975580790711064e-5	7.594799238751451e-5	140	ADORA3	ENSG00000282608	adenosine A3 receptor
141	10909.383748547976	-1.6466348175099546	0.21841809984123875	1.3471480988963227e-14	1.7139853164182425e-13	141	ADPRH	ENSG00000144843	ADP-ribosylarginine hydrolase
142	11477.614305243884	0.6211066065608049	0.25296411941503505	0.011375057510032012	0.024503141574947943	142	PARP1	ENSG00000143799	poly(ADP-ribose) polymerase 1
143	12254.533208122913	2.263435064005482	0.2643244312226432	1.685308261240253e-18	3.0618563632435324e-17	143	PARP4	ENSG00000102699	poly(ADP-ribose) polymerase family member 4
144	37094.01530411055	0.37135415305485797	0.21625545620660255	0.07905990300654023	0.13028257797923282	144	PARP1P1	ENSG00000227105	poly(ADP-ribose) polymerase 1 pseudogene 1
145	4900.995415666515	-0.1298338546075567	0.21797373768764614	0.5399178220286496	0.6325635406692115	145	PARP1P2	NA	poly(ADP-ribose) polymerase 1 pseudogene 2
146	8597.460935843912	-0.5168676847433012	0.23437342357859975	0.022923999432737305	0.045071233027033863	146	ADRA1D	ENSG00000171873	adrenoceptor alpha 1D
147	13556.58468632589	0.8568837981901055	0.24723552454544015	3.425355629242974e-4	0.0010456906707951108	147	ADRA1B	ENSG00000170214	adrenoceptor alpha 1B
148	14672.525964868866	-0.5154027815822078	0.22537788574581039	0.018640721192701618	0.037620201429824696	148	ADRA1A	ENSG00000120907	adrenoceptor alpha 1A
149	11300.820973376824	0.7115516891528246	0.21746895349334625	8.0084828983274e-4	0.0022700177437804626	149	NA	NA	NA
150	16926.948656448723	0.2925360104707268	0.21398957438173544	0.16258753439132767	0.23909763783286622	150	ADRA2A	ENSG00000150594	adrenoceptor alpha 2A
151	31591.42816115023	-1.1136895428153972	0.24370047755445323	2.4013101009587096e-6	1.0743748421285112e-5	151	ADRA2B	ENSG00000274286	adrenoceptor alpha 2B
152	12532.439981691412	0.39000116690113146	0.2173950705853081	0.06723345025776488	0.11326479077481005	152	ADRA2C	ENSG00000184160	adrenoceptor alpha 2C
153	16165.490982171521	0.7266834532814287	0.25276188242457076	0.0029642749792007125	0.0074190936009278724	153	ADRB1	ENSG00000043591	adrenoceptor beta 1
154	13212.309160142537	1.0173195043067622	0.2164630424038106	1.4788278618010167e-6	6.8296514498874275e-6	154	ADRB2	ENSG00000169252	adrenoceptor beta 2
155	11082.730586855643	2.2284454516825276	0.23135020685590071	1.0834307700868829e-22	2.782243580947464e-21	155	ADRB3	ENSG00000188778	adrenoceptor beta 3
156	19797.495093732876	-0.03702742767015264	0.2317111819632935	0.8594297020302676	0.9002582107971576	156	GRK2	ENSG00000173020	G protein-coupled receptor kinase 2
157	1616.0422553538087	0.6062132333251761	0.2920969026228552	0.03010080238941077	0.056983557831116416	157	GRK3	ENSG00000100077	G protein-coupled receptor kinase 3
158	17182.44950707149	-0.27516832484101705	0.2212089976051981	0.20088852962624776	0.28425447247511165	158	ADSL	ENSG00000239900	adenylosuccinate lyase
159	16062.164895685242	0.29129055036366985	0.21622593040139215	0.17141761886081974	0.24967445936568106	159	ADSS2	ENSG00000035687	adenylosuccinate synthase 2
160	9914.727535857339	-0.22236334868838634	0.27163794432120625	0.39559913398243113	0.4956516645062304	160	AP2A1	ENSG00000196961	adaptor related protein complex 2 subunit alpha 1
161	9557.65779365017	1.0325749427055881	0.2842560083587669	1.3430909900935138e-4	4.468708891444074e-4	161	AP2A2	ENSG00000183020	adaptor related protein complex 2 subunit alpha 2
162	9056.06051216393	0.8366581311723034	0.2418699408124571	3.621451096800511e-4	0.0010987536356476888	162	AP1B1	ENSG00000100280	adaptor related protein complex 1 subunit beta 1
163	15229.060639147201	-0.3579353560994342	0.2145516787930825	0.08675545633794002	0.14080548270721216	163	AP2B1	ENSG00000006125	adaptor related protein complex 2 subunit beta 1
164	8330.707464169865	1.768411933983229	0.2707593257293885	1.5416187898912862e-11	1.3746499041276e-10	164	AP1G1	ENSG00000166747	adaptor related protein complex 1 subunit gamma 1
165	9859.275102871308	1.0607855780810118	0.21723178015143016	5.676036108820825e-7	2.7881628255439866e-6	165	AEBP1	ENSG00000106624	AE binding protein 1
166	9936.935189097101	0.10589237390489892	0.23721653565105694	0.6487383036970693	0.7299176472555123	166	TLE5	ENSG00000104964	TLE family member 5, transcriptional modulator
167	18091.82723939081	1.0963525030903347	0.2179160385637959	2.590669676405872e-7	1.3375289348414432e-6	167	CRISP1	ENSG00000124812	cysteine rich secretory protein 1
168	3861.5013808334893	-0.678432767524424	0.25018800006155917	0.004992599876836106	0.011855127065231473	168	NA	NA	NA
169	13469.527453178607	0.36607720712005276	0.21616887387887704	0.08418546065006098	0.13713872057906282	169	AF8T	NA	AF8 temperature sensitivity complementing
170	7252.592208783667	-0.5058627671092536	0.21542481819415632	0.015309991319875371	0.03167200153503455	170	AFA	NA	ankyloblepharon filiforme adnatum
172	7128.716002030016	0.7475176342889189	0.21630112341311142	4.0109179165906465e-4	0.0012066573832671072	172	AFG3L1P	ENSG00000223959	AFG3 like matrix AAA peptidase subunit 1, pseudogene
173	9674.029033817298	-0.009917409034105333	0.22013817015305437	0.9604145917586526	0.973535168300843	173	AFM	ENSG00000079557	afamin
174	1652.4382259036645	2.0438135785361484	0.26520941702821077	2.7933852499895573e-15	3.7745590054049066e-14	174	AFP	ENSG00000081051	alpha fetoprotein
175	9575.356713812545	0.5621729864036279	0.21567450083192086	0.007629206757099318	0.01724412563819901	175	AGA	ENSG00000038002	aspartylglucosaminidase
176	8003.765874617342	-0.0942334986506473	0.2152456598816063	0.651328196575949	0.7320457458701132	176	ACAN	ENSG00000157766	aggrecan
177	27536.170364122103	-1.114891951228685	0.21728634864413313	1.4257379461967425e-7	7.670259743270188e-7	177	AGER	ENSG00000204305	advanced glycosylation end-product specific receptor
178	9606.827032437408	-0.2795563918908904	0.23364119100945585	0.21580640240859084	0.3014709731747467	178	AGL	ENSG00000162688	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
179	13044.505393916395	-0.10700789032022709	0.22468240290699504	0.621224407081211	0.705493165538726	179	AGMX2	NA	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)
180	11600.610676831022	0.2747022235037964	0.26930046211798436	0.28361792808884506	0.3785711244226572	180	NA	NA	NA
181	14232.106689005948	4.390207568566752	0.24891002376898202	9.360663233905811e-71	3.139379235387331e-68	181	AGRP	ENSG00000159723	agouti related neuropeptide
