gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
10940	301.2441420986862	-3.825913706735771	0.38861583526912696	6.690811581977306e-24	1.9016647359013126e-22	10940	POP1	ENSG00000104356	POP1 homolog, ribonuclease P/MRP subunit
7781	944.2325168308116	-2.6667971574748703	0.2701880412352672	7.407687829785456e-24	2.0947642026588924e-22	7781	SLC30A3	ENSG00000115194	solute carrier family 30 member 3
7462	361.93818859174957	-2.965317085338302	0.301677912563193	9.948681382130506e-24	2.7896006667302813e-22	7462	LAT2	ENSG00000086730	linker for activation of T cells family member 2
10038	452.06035849670906	-2.7108494517454003	0.2771590662257624	1.7993290426086428e-23	4.930220378350381e-22	10038	PARP2	ENSG00000129484	poly(ADP-ribose) polymerase 2
7032	1320.1973719829246	-2.3392703900154106	0.2390479766658809	2.094872878288556e-23	5.675108771570404e-22	7032	TFF2	ENSG00000160181	trefoil factor 2
6393	447.8394035987157	-3.0159696600813026	0.3094023263792501	2.16640313420518e-23	5.859421638304301e-22	6393	NA	NA	NA
4374	962.2124476853749	-2.6176955517524028	0.26842044081280186	2.4438086317045648e-23	6.588460923642098e-22	4374	NA	NA	NA
5632	1213.6818335161079	-2.3584099148605357	0.24121040992705173	2.5878761820469406e-23	6.965665440890072e-22	5632	NA	NA	NA
5666	1333.4837212130853	-2.4548999598329124	0.25280373747537355	4.0486636579282686e-23	1.0708523798075574e-21	5666	NA	NA	NA
6331	650.2667988098198	-2.534107811825284	0.26191030524369724	5.463837645468866e-23	1.4383531158063958e-21	6331	SCN5A	ENSG00000183873	sodium voltage-gated channel alpha subunit 5
5179	782.3671221078498	-2.4884489487267527	0.25743877067789056	6.18016652584222e-23	1.6193001948726282e-21	5179	PENK	ENSG00000181195	proenkephalin
6358	1499.331212690128	-2.6862974097347347	0.2783037804588949	6.260238564702492e-23	1.6377213805225596e-21	6358	CCL14	ENSG00000276409	C-C motif chemokine ligand 14
4613	1180.3895217810268	-2.3749884607373946	0.24568307445090026	6.565450830405e-23	1.7148916662782157e-21	4613	MYCN	ENSG00000134323	MYCN proto-oncogene, bHLH transcription factor
4004	1194.8638672205566	-2.3832780831624127	0.24689619618756728	7.464414872946192e-23	1.9376280650841284e-21	4004	LMO1	ENSG00000166407	LIM domain only 1
6362	584.8225389451568	-2.530916974276349	0.26299116010575163	9.163232292334799e-23	2.3639729586178804e-21	6362	CCL18	ENSG00000275385	C-C motif chemokine ligand 18
3942	854.9168739382325	-2.615443608392727	0.2721501421371063	9.945075463140898e-23	2.5617353370416238e-21	3942	NA	NA	NA
5811	886.6575881473208	-2.449123976196189	0.2556406689167654	1.4555567268383276e-22	3.687043920294851e-21	5811	NA	NA	NA
