ENSEMBL_ID	SYMBOL	ENTREZID	GENENAME
ENSG00000107957	SH3PXD2A	9644	SH3 and PX domains 2A
ENSG00000107959	PITRM1	10531	pitrilysin metallopeptidase 1
ENSG00000107960	STN1	79991	STN1 subunit of CST complex
ENSG00000107968	MAP3K8	1326	mitogen-activated protein kinase kinase kinase 8
ENSG00000107984	DKK1	22943	dickkopf WNT signaling pathway inhibitor 1
ENSG00000108010	GLRX3	10539	glutaredoxin 3
ENSG00000108021	TASOR2	54906	transcription activation suppressor family member 2
ENSG00000108039	XPNPEP1	7511	X-prolyl aminopeptidase 1
ENSG00000108055	SMC3	9126	structural maintenance of chromosomes 3
ENSG00000108061	SHOC2	8036	SHOC2 leucine rich repeat scaffold protein
ENSG00000108064	TFAM	7019	transcription factor A, mitochondrial
ENSG00000108091	CCDC6	8030	coiled-coil domain containing 6
ENSG00000108094	CUL2	8453	cullin 2
ENSG00000108100	CCNY	219771	cyclin Y
ENSG00000108106	UBE2S	27338	ubiquitin conjugating enzyme E2 S
ENSG00000108107	RPL28	6158	ribosomal protein L28
ENSG00000108175	ZMIZ1	57178	zinc finger MIZ-type containing 1
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12
ENSG00000108179	PPIF	10105	peptidylprolyl isomerase F
ENSG00000108187	PBLD	64081	phenazine biosynthesis like protein domain containing
ENSG00000108219	TSPAN14	81619	tetraspanin 14
ENSG00000108239	TBC1D12	23232	TBC1 domain family member 12
ENSG00000108256	NUFIP2	57532	nuclear FMR1 interacting protein 2
ENSG00000108262	GIT1	28964	GIT ArfGAP 1
ENSG00000108298	RPL19	6143	ribosomal protein L19
ENSG00000108306	FBXL20	84961	F-box and leucine rich repeat protein 20
ENSG00000108312	UBTF	7343	upstream binding transcription factor
ENSG00000108342	CSF3	1440	colony stimulating factor 3
ENSG00000108344	PSMD3	5709	proteasome 26S subunit, non-ATPase 3
ENSG00000108349	CASC3	22794	CASC3 exon junction complex subunit
ENSG00000108352	RAPGEFL1	51195	Rap guanine nucleotide exchange factor like 1
ENSG00000108370	RGS9	8787	regulator of G protein signaling 9
ENSG00000108375	RNF43	54894	ring finger protein 43
ENSG00000108379	WNT3	7473	Wnt family member 3
ENSG00000108384	RAD51C	5889	RAD51 paralog C
ENSG00000108387	SEPTIN4	5414	septin 4
ENSG00000108389	MTMR4	9110	myotubularin related protein 4
ENSG00000108395	TRIM37	4591	tripartite motif containing 37
ENSG00000108406	DHX40	79665	DEAH-box helicase 40
ENSG00000108423	TUBD1	51174	tubulin delta 1
ENSG00000108424	KPNB1	3837	karyopherin subunit beta 1
ENSG00000108433	GOSR2	9570	golgi SNAP receptor complex member 2
ENSG00000108439	PNPO	55163	pyridoxamine 5'-phosphate oxidase
ENSG00000108443	RPS6KB1	6198	ribosomal protein S6 kinase B1
ENSG00000108465	CDK5RAP3	80279	CDK5 regulatory subunit associated protein 3
ENSG00000108468	CBX1	10951	chromobox 1
ENSG00000108469	RECQL5	9400	RecQ like helicase 5
ENSG00000108474	PIGL	9487	phosphatidylinositol glycan anchor biosynthesis class L
ENSG00000108479	GALK1	2584	galactokinase 1
ENSG00000108506	INTS2	57508	integrator complex subunit 2
ENSG00000108509	CAMTA2	23125	calmodulin binding transcription activator 2
ENSG00000108510	MED13	9969	mediator complex subunit 13
ENSG00000108511	HOXB6	3216	homeobox B6
ENSG00000108515	ENO3	2027	enolase 3
ENSG00000108518	PFN1	5216	profilin 1
ENSG00000108523	RNF167	26001	ring finger protein 167
ENSG00000108528	SLC25A11	8402	solute carrier family 25 member 11
ENSG00000108556	CHRNE	1145	cholinergic receptor nicotinic epsilon subunit
ENSG00000108557	RAI1	10743	retinoic acid induced 1
ENSG00000108559	NUP88	4927	nucleoporin 88
ENSG00000108561	C1QBP	708	complement C1q binding protein
ENSG00000108578	BLMH	642	bleomycin hydrolase
ENSG00000108582	CPD	1362	carboxypeptidase D
ENSG00000108587	GOSR1	9527	golgi SNAP receptor complex member 1
ENSG00000108588	CCDC47	57003	coiled-coil domain containing 47
ENSG00000108590	MED31	51003	mediator complex subunit 31
ENSG00000108591	DRG2	1819	developmentally regulated GTP binding protein 2
ENSG00000108592	FTSJ3	117246	FtsJ RNA 2'-O-methyltransferase 3
ENSG00000108599	AKAP10	11216	A-kinase anchoring protein 10
ENSG00000108602	ALDH3A1	218	aldehyde dehydrogenase 3 family member A1
ENSG00000108604	SMARCD2	6603	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
ENSG00000108639	SYNGR2	9144	synaptogyrin 2
ENSG00000108641	B9D1	27077	B9 domain containing 1
ENSG00000108651	UTP6	55813	UTP6 small subunit processome component
ENSG00000108654	DDX5	1655	DEAD-box helicase 5
ENSG00000108666	C17orf75	64149	chromosome 17 open reading frame 75
ENSG00000108669	CYTH1	9267	cytohesin 1
ENSG00000108671	PSMD11	5717	proteasome 26S subunit, non-ATPase 11
ENSG00000108679	LGALS3BP	3959	galectin 3 binding protein
ENSG00000108691	CCL2	6347	C-C motif chemokine ligand 2
ENSG00000108733	PEX12	5193	peroxisomal biogenesis factor 12
ENSG00000108773	KAT2A	2648	lysine acetyltransferase 2A
ENSG00000108774	RAB5C	5878	RAB5C, member RAS oncogene family
ENSG00000108784	NAGLU	4669	N-acetyl-alpha-glucosaminidase
ENSG00000108786	HSD17B1	3292	hydroxysteroid 17-beta dehydrogenase 1
ENSG00000108788	MLX	6945	MAX dimerization protein MLX
ENSG00000108797	CNTNAP1	8506	contactin associated protein 1
ENSG00000108799	EZH1	2145	enhancer of zeste 1 polycomb repressive complex 2 subunit
ENSG00000108813	DLX4	1748	distal-less homeobox 4
ENSG00000108819	PPP1R9B	84687	protein phosphatase 1 regulatory subunit 9B
ENSG00000108821	COL1A1	1277	collagen type I alpha 1 chain
ENSG00000108826	MRPL27	51264	mitochondrial ribosomal protein L27
ENSG00000108828	VAT1	10493	vesicle amine transport 1
ENSG00000108829	LRRC59	55379	leucine rich repeat containing 59
ENSG00000108840	HDAC5	10014	histone deacetylase 5
ENSG00000108846	ABCC3	8714	ATP binding cassette subfamily C member 3
ENSG00000108848	LUC7L3	51747	LUC7 like 3 pre-mRNA splicing factor
ENSG00000108852	MPP2	4355	MAGUK p55 scaffold protein 2
