Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000034677,25897,RNF19A,-1.3304047412846067
ENSG00000177084,5426,POLE,-1.4240652153597908
ENSG00000178966,80010,RMI1,-1.270869669388084
ENSG00000144847,152404,IGSF11,-1.5618909634656069
ENSG00000127129,1907,EDN2,-1.5786507579336
ENSG00000128298,80115,BAIAP2L2,-1.225190457864307
ENSG00000156136,1633,DCK,-1.1997760710740537
ENSG00000186638,347240,KIF24,-1.0103546770708958
ENSG00000131351,93323,HAUS8,-1.1335692428996804
ENSG00000138642,55008,HERC6,1.1667303972851706
ENSG00000185347,283643,TEDC1,-1.3545357964552416
ENSG00000172936,4615,MYD88,1.3426862905811996
ENSG00000140443,3480,IGF1R,-1.2189824302750498
ENSG00000151466,132320,SCLT1,-1.2214159674877056
ENSG00000117298,1889,ECE1,-1.2055549369340133
ENSG00000135114,8638,OASL,3.4698444086637474
ENSG00000096060,2289,FKBP5,-1.0750780311351602
ENSG00000171790,200172,SLFNL1,-1.5086981941832969
ENSG00000123815,79934,COQ8B,-1.1943617259569144
ENSG00000149503,3619,INCENP,-1.2344954160847
ENSG00000174442,55055,ZWILCH,-1.460283211525404
ENSG00000221963,80830,APOL6,1.0957168438342495
ENSG00000076003,4175,MCM6,-1.4135315367312802
ENSG00000146049,353219,KAAG1,-1.600086482331745
ENSG00000115129,9540,TP53I3,1.553568638704581
ENSG00000022567,57210,SLC45A4,-1.6482159706316204
ENSG00000132274,10346,TRIM22,1.746343060926894
ENSG00000250799,58510,PRODH2,-1.991650896926936
ENSG00000033100,54480,CHPF2,1.1403913924586573
ENSG00000115226,64838,FNDC4,1.0299859912602507
ENSG00000151503,23310,NCAPD3,-1.2566780500231096
ENSG00000129226,968,CD68,2.601157588477588
ENSG00000180318,8092,ALX1,-1.0405257095675702
ENSG00000223573,257000,TINCR,1.6117659415393193
ENSG00000021826,1373,CPS1,-3.255788629158578
ENSG00000143473,3756,KCNH1,-1.2174510986981764
ENSG00000173193,54625,PARP14,1.1857030115286635
ENSG00000197905,7004,TEAD4,-1.0648849609135076
ENSG00000129116,23022,PALLD,-1.150631494056296
ENSG00000205413,54809,SAMD9,1.4180552633328172
ENSG00000137965,10561,IFI44,2.3539385255969467
ENSG00000128283,11135,CDC42EP1,-1.9286419040158287
ENSG00000080839,5933,RBL1,-1.189874009378226
ENSG00000242574,3109,HLA-DMB,-2.0689180051485208
ENSG00000170482,9963,SLC23A1,-1.709617832071458
