Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000149503,3619,INCENP,-1.33165694475296
ENSG00000172890,55191,NADSYN1,1.030908112950585
ENSG00000285077,89839,ARHGAP11B,-1.6487664602305951
ENSG00000183607,200504,GKN2,1.13589340602119
ENSG00000146410,113115,MTFR2,-1.6142805111549456
ENSG00000133119,5983,RFC3,-1.7785356572312845
ENSG00000276043,29128,UHRF1,-1.5901154585413937
ENSG00000178809,375593,TRIM73,1.1389417389298235
ENSG00000014138,23649,POLA2,-1.7499729155464308
ENSG00000071539,9319,TRIP13,-1.8804888076432509
ENSG00000124596,221443,OARD1,-1.0091485697749505
ENSG00000135679,4193,MDM2,1.2015807481674852
ENSG00000172164,6641,SNTB1,-1.2086801151494575
ENSG00000289194,,,-1.159611225241464
ENSG00000162063,899,CCNF,-1.2398618319409702
ENSG00000164758,90390,MED30,-1.5828198576794248
ENSG00000274430,,,-4.442046365442616
ENSG00000127337,8089,YEATS4,-1.3809477527254264
ENSG00000125885,84515,MCM8,-1.163655337946187
ENSG00000127586,63922,CHTF18,-1.4027544708312931
ENSG00000154814,92106,OXNAD1,-1.217431845113691
ENSG00000285920,,,-1.3792552091927728
ENSG00000000460,55732,FIRRM,-1.0639399643989935
ENSG00000186871,54821,ERCC6L,-1.1316002259250388
ENSG00000126215,7517,XRCC3,-1.536497345997211
ENSG00000137135,84904,ARHGEF39,-1.002602283115646
ENSG00000117632,3925,STMN1,-1.479182055866123
ENSG00000126457,3276,PRMT1,-1.148916827866855
ENSG00000163918,5984,RFC4,-1.307049092378723
ENSG00000183798,90187,EMILIN3,1.025014267194332
ENSG00000131470,29893,PSMC3IP,-1.3775752826142311
ENSG00000136824,10592,SMC2,-1.3134764965348378
ENSG00000100889,5106,PCK2,-2.8925209129602214
ENSG00000123473,6491,STIL,-1.3308586417877275
ENSG00000198554,11169,WDHD1,-1.2616824476518478
ENSG00000168393,1841,DTYMK,-1.5106858744245804
ENSG00000242282,,,-1.3614763635438436
ENSG00000162643,126820,DNAI3,1.1609578084923688
ENSG00000167513,81620,CDT1,-1.7944203318248058
ENSG00000110063,28960,DCPS,-1.0462612730646996
ENSG00000177084,5426,POLE,-1.4022874868740576
ENSG00000085871,4258,MGST2,1.1611673451864712
ENSG00000260912,,,1.18332733409898
ENSG00000136527,6434,TRA2B,-1.4461501914244217
ENSG00000119969,3070,HELLS,-1.1241682822874637
ENSG00000132182,23225,NUP210,-1.1920319972482334
ENSG00000177602,83903,HASPIN,-1.1926331331068525
ENSG00000120539,84930,MASTL,-1.2183429957468528
ENSG00000136492,83990,BRIP1,-1.2105511408813892
ENSG00000185480,55010,PARPBP,-1.6769826371079402
ENSG00000119812,25940,FAM98A,1.003339150891391
ENSG00000276150,,,-3.674413037415577
ENSG00000119403,26147,PHF19,-1.4730379870959205
ENSG00000155428,378108,TRIM74,1.059870731742687
ENSG00000129173,79733,E2F8,-1.1827158104669255
ENSG00000005156,3980,LIG3,-1.089197927349277
ENSG00000139354,283431,GAS2L3,-1.82128688863747
ENSG00000166508,4176,MCM7,-1.6692533120945372
ENSG00000162607,7398,USP1,-1.3466046623799124
ENSG00000109674,55247,NEIL3,-1.535160285661737
ENSG00000104147,11339,OIP5,-2.2480262974776064
ENSG00000196756,388796,SNHG17,-1.5457598165134332
ENSG00000207181,677802,SNORA14B,2.754006169389781
ENSG00000080546,27244,SESN1,1.03111539781304
ENSG00000092621,26227,PHGDH,-3.3141301022614664
ENSG00000149809,7108,TM7SF2,1.326269934925404
ENSG00000182481,3838,KPNA2,-1.012712496584931
ENSG00000168476,80346,REEP4,-1.1296626991096907
ENSG00000256940,105369340,PPP1R14B-AS1,1.2721199197643671
ENSG00000167601,558,AXL,-1.384568771774851
ENSG00000132793,64900,LPIN3,1.3774403723152608
ENSG00000139514,6541,SLC7A1,-2.2292354904800744
ENSG00000077514,10714,POLD3,-1.0867833247240268
ENSG00000256664,,,1.1261517461448776
ENSG00000115738,3398,ID2,-1.0871948008944203
ENSG00000162624,431707,LHX8,-1.062381756991753
ENSG00000085840,4998,ORC1,-1.102865890858351
ENSG00000151718,80014,WWC2,-1.29856158066654
ENSG00000163923,116832,RPL39L,-1.7101059116529704
ENSG00000092853,63967,CLSPN,-1.1348480009154327
ENSG00000120802,7112,TMPO,-1.1510901698243656
ENSG00000156136,1633,DCK,-1.12611383884165
ENSG00000119522,57706,DENND1A,-1.127300371936657
ENSG00000065060,54887,BLTP3A,-1.0589289662499364
ENSG00000182612,83882,TSPAN10,1.4680917713404038
ENSG00000186153,51741,WWOX,-1.0428431547462869
ENSG00000047644,55841,WWC3,-1.075183296173948
ENSG00000099860,4616,GADD45B,-2.6637787681581626
ENSG00000277586,4747,NEFL,1.4670813391942032
ENSG00000151503,23310,NCAPD3,-1.203714342533356
ENSG00000132517,55065,SLC52A1,1.4317260121484296
ENSG00000069812,54626,HES2,1.302910330537956
ENSG00000108679,3959,LGALS3BP,1.0491289455334494
ENSG00000165175,58526,MID1IP1,-1.3908668032344875
ENSG00000049541,5982,RFC2,-1.0935023468404568
ENSG00000175643,116028,RMI2,-1.8276789958107305
ENSG00000075826,25956,SEC31B,1.003099414231827
ENSG00000130005,2593,GAMT,1.154880399528582
ENSG00000075188,79023,NUP37,-1.2208096269252104
