Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000245694,101927480,LOC101927480,1.0298897284024222
ENSG00000199270,100169763,RNA5S12,-3.7698353713906094
ENSG00000199910,100169761,RNA5S10,-3.898441684470407
ENSG00000290032,,,-1.830813922809431
ENSG00000167670,10036,CHAF1A,1.0857031225585163
ENSG00000291174,101927789,FAUP4,-1.3082829137235894
ENSG00000200343,100169759,RNA5S8,-3.634506529702141
ENSG00000202521,100169758,RNA5S7,-3.634506529702141
ENSG00000272157,,,-1.2323447147904938
ENSG00000139354,283431,GAS2L3,1.4886920919224158
ENSG00000199352,100169751,RNA5S1,-3.593754409441257
ENSG00000246985,144481,SOCS2-AS1,1.1395210612571058
ENSG00000205309,56953,NT5M,1.1642004706367777
ENSG00000221829,2189,FANCG,1.2318336393473732
ENSG00000201355,100169765,RNA5S14,-3.6077256950976735
ENSG00000202526,100169764,RNA5S13,-3.6077256950976735
ENSG00000149809,7108,TM7SF2,-1.0903112766350531
ENSG00000161544,114757,CYGB,-1.810444349394401
ENSG00000278023,201299,RDM1,1.136497463499549
ENSG00000200370,100169768,RNA5S17,-3.54922843336607
ENSG00000201925,100169766,RNA5S15,-3.54922843336607
ENSG00000173805,9001,HAP1,-1.1333679463687312
ENSG00000149929,8479,HIRIP3,1.1178750102054202
ENSG00000199337,100169754,RNA5S3,-3.54922843336607
ENSG00000201588,100169753,RNA5S2,-3.54922843336607
ENSG00000276150,,,2.931765131914995
ENSG00000179242,1002,CDH4,1.1461878474333531
ENSG00000202257,100169767,RNA5S16,-3.54922843336607
ENSG00000214900,283551,LINC01588,-1.003062077901277
ENSG00000199396,100169756,RNA5S5,-3.779090025169664
ENSG00000200624,100169757,RNA5S6,-3.54922843336607
ENSG00000227568,,SNX18P26,-1.1652477306589368
ENSG00000131016,9590,AKAP12,1.0451600115694282
ENSG00000065328,55388,MCM10,1.4144744943357763
ENSG00000166803,9768,PCLAF,2.778122814161407
ENSG00000131094,10882,C1QL1,1.2007746875908198
ENSG00000177084,5426,POLE,1.058750925704654
ENSG00000199334,100169762,RNA5S11,-2.829156188320557
ENSG00000162616,11080,DNAJB4,-1.5069160994182074
ENSG00000085999,8438,RAD54L,1.1552473748556276
ENSG00000179046,205860,TRIML2,-1.0984179876863158
ENSG00000229344,107075310,MTCO2P12,12.79808206204447
ENSG00000173559,64859,NABP1,-1.2701477530152334
ENSG00000100889,5106,PCK2,2.1077381537061504
ENSG00000263585,,PYCR1-AS1,1.1257165778877782
ENSG00000257453,120766149,PHLDA1-AS1,1.3256003013059807
ENSG00000101447,81610,FAM83D,1.1167469410069213
ENSG00000185924,146760,RTN4RL1,-1.0550954817852725
ENSG00000123243,80760,ITIH5,-1.0096113601429568
ENSG00000133119,5983,RFC3,1.2372222664402508
ENSG00000284946,,,1.0765759190556383
ENSG00000163923,116832,RPL39L,1.3192794553415004
ENSG00000164758,90390,MED30,1.1208581925511971
ENSG00000129521,112399,EGLN3,-1.102281282894637
ENSG00000253917,,,1.1858449344850448
ENSG00000186462,4674,NAP1L2,-1.0667596866887412
ENSG00000180596,8347,H2BC4,-1.3583253775463726
ENSG00000114346,1894,ECT2,1.156610985587493
ENSG00000153294,221393,ADGRF4,-1.0730342892666105
