ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031329	regulation of cellular catabolic process	79/1033	464/8616	6.502545144914492e-4	0.0340809866124636	0.03029421032218987	CNOT9/DDIT3/CTTN/PIM2/HNRNPA0/INSR/TP53/TOB1/THRAP3/TRIB3/HMGB1/TP53INP1/ARNT/TNRC6B/SQSTM1/PAFAH1B2/FOXK2/SEC22B/ATP6V0E1/PSAP/PRXL2C/FTO/TWIST1/FLCN/NUPR1/ANXA2/ATP6V1G1/CIRBP/CNOT7/CPT1A/TRIM13/ATP6V1E1/SLC25A5/MEX3D/DTX3L/LONP2/LARP4B/YTHDF1/RNF152/PAN3/GAS5/NPM1/FMR1/SERBP1/HNRNPU/CNOT6L/HNRNPC/HAX1/IGF1/CHMP4B/ITCH/MT3/EHMT2/RRAGC/IRS1/EIF4G2/TRIM5/IGF2BP1/PIP4K2A/SNCA/CAMKK2/VIM/CISD2/NOCT/CSDE1/IDH1/ATG13/IFI16/HMOX1/RUBCN/SVIP/NEAT1/DEPP1/PIP4K2C/LRPPRC/LDLR/ATP6V1C1/RBM8A/OPTN	79
GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	26/1033	113/8616	7.011147941354243e-4	0.03627856678991426	0.03224761492436823	DDIT3/NKX3-1/INSR/DIPK2A/PDGFC/AXL/MAZ/TWIST1/FLCN/PDGFA/PTEN/SEMA5A/BAG4/TXN/SOX9/TSPYL5/HAX1/IGF1/IGF1R/CSF1R/HSP90AB1/F3/SEMA4D/RUBCN/DDR2/PDGFRA	26
GO:0010043	response to zinc ion	10/1033	27/8616	7.247570020880739e-4	0.03627856678991426	0.03224761492436823	MT1X/MT1F/ASS1/MT1E/MT1G/SLC30A1/MT3/MT2A/SLC30A10/PARP1	10
GO:0042446	hormone biosynthetic process	10/1033	27/8616	7.247570020880739e-4	0.03627856678991426	0.03224761492436823	REST/ARNT/FDX1/EGR1/CYP17A1/H6PD/HSD17B3/IGF1R/WNT4/ATP1A1	10
GO:0045668	negative regulation of osteoblast differentiation	10/1033	27/8616	7.247570020880739e-4	0.03627856678991426	0.03224761492436823	CRIM1/TOB1/PTCH1/RIOX1/TWIST1/SOX9/NOCT/SEMA4D/TNFAIP6/CITED1	10
GO:0072111	cell proliferation involved in kidney development	6/1033	11/8616	7.921339242597232e-4	0.0392106292508563	0.034853892667427826	GPC3/PTCH1/FLCN/EGR1/ITGB3/CFLAR	6
GO:0009636	response to toxic substance	31/1033	145/8616	8.626812016002091e-4	0.04177439949053186	0.03713279954713943	MT1X/MT1F/ASS1/DNMT3A/MT1E/ATF4/MT1G/TP53INP1/GSR/TXNRD1/CNP/NUPR1/TXN/SLC30A1/MGST2/MDM2/SLC7A11/SLC22A5/ADH5/KDM5B/MT3/EHMT2/AKR1A1/PRXL2A/NQO1/MGST1/MT2A/SLC30A10/AKR1B10/SRXN1/PRDX5	31
GO:0070371	ERK1 and ERK2 cascade	31/1033	145/8616	8.626812016002091e-4	0.04177439949053186	0.03713279954713943	GPNMB/EZR/HMGCR/PDGFC/HMGB1/STYX/PRXL2C/GLIPR2/FLCN/PDGFA/SYNJ2BP/PTEN/DUSP9/IQGAP3/CCL2/ITGB3/SOX9/ACTA2/FBLN1/IGF1/MT3/YWHAZ/CSF1R/CFLAR/CCL24/SLC30A10/PIN1/KARS1/MTURN/PDGFRA/DUSP10	31
GO:0036465	synaptic vesicle recycling	13/1033	42/8616	8.845631858520547e-4	0.0423734300319452	0.037665271139506844	ACTB/CTBP1/AP1G1/ARF6/CANX/ACTG1/STON2/TBC1D24/SH3GL1/SNCA/OPHN1/BTBD9/SYNJ2	13
GO:0007622	rhythmic behavior	8/1033	19/8616	9.29113420111872e-4	0.04353658200902444	0.03869918400802173	TP53/C3orf70/PTEN/EGR1/USP2/PTGDS/PARP1/BTBD9	8
