logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL	contrast	direction
-2.9146103092110645	2.8488603555323357	-6.58519955117952	4.0363980773008434e-5	9.87191231160701e-4	2.271558701596472	ENSG00000133636	Merge_vs_Mock	Down
-1.3639135875848831	5.28218061943328	-6.579535256008877	4.067443446627259e-5	9.93198879987338e-4	2.2635893394528566	ENSG00000101384	Merge_vs_Mock	Down
-1.1110090559997485	3.8771818817596575	-6.578275166506738	4.0743845721028764e-5	9.93198879987338e-4	2.2618158610753216	ENSG00000168496	Merge_vs_Mock	Down
-2.183600241671039	3.3816571481551465	-6.573044311130616	4.1033343524148734e-5	9.973575892747496e-4	2.254451503919567	ENSG00000258186	Merge_vs_Mock	Down
-1.0732152741386365	5.281278017442804	-6.570888912510325	4.115327268289417e-5	9.987289602024596e-4	2.251415891505779	ENSG00000091483	Merge_vs_Mock	Down
-1.267520695948373	0.7663078063789666	-6.545047225188993	4.2620734536253946e-5	0.0010279964284005056	2.214971297985473	ENSG00000085999	Merge_vs_Mock	Down
-1.627299617971138	4.427964387247146	-6.5380425192062335	4.302809133769429e-5	0.0010330683425596645	2.2050767022887	ENSG00000113924	Merge_vs_Mock	Down
-1.2854758482320627	2.7997846662408667	-6.5357289750946395	4.3163549166476027e-5	0.0010347408143170761	2.201807187426583	ENSG00000250615	Merge_vs_Mock	Down
-1.6406746843740516	1.1064614927015424	-6.526325393858294	4.3718846318700386e-5	0.0010417008745573974	2.1885103915142565	ENSG00000163576	Merge_vs_Mock	Down
-2.3101230642132293	5.147837946076588	-6.5225199376514365	4.394573462902426e-5	0.0010455228786324289	2.183125956016198	ENSG00000099860	Merge_vs_Mock	Down
-1.4723842713066277	4.868756581023387	-6.518658712739725	4.4177237079964005e-5	0.0010488247839904531	2.1776605693633933	ENSG00000187079	Merge_vs_Mock	Down
-1.4925626216226342	3.4295835558493635	-6.517024312868489	4.4275621692304386e-5	0.0010488247839904531	2.1753465314484437	ENSG00000258749	Merge_vs_Mock	Down
